Çalışma Şekli,Sektör,Firma,İlani Veren Firma,Pozisyon,İlan-ID,Lokasyon,İlan-Statüsü,Detail-Aday,İlan-Metni,Son-Güncelleme
Çalışma Şekli,Sektör,Firma,İlani Veren Firma,Pozisyon,İlan-ID,Lokasyon,İlan-Statüsü,Detail-Aday,İlan-Metni,Son-Güncelleme
Tam Zamanlı,İlaç Sanayi,Neutec İlaç,Neutec İlaç,Tıbbi Satış Mümessili,3622913,"Adana, Adıyaman, Afyon, Ankara, Antalya, Aydın, Balıkesir, Bolu, Bursa, Çanakkale, Çorum, Denizli, Diyarbakır, Edirne, Erzurum, Eskişehir, Gaziantep, Hatay, Isparta, Mersin, İstanbul(Avr.), İzmir, Kayseri, Kırklareli, Kocaeli, Konya, Kütahya, Malatya, Manisa, Kahramanmaraş, Mardin, Muğla, Ordu, Rize, Sakarya, Samsun, Sivas, Tekirdağ, Trabzon, Şanlıurfa, Van, Zonguldak, Kırıkkale, Iğdır, Karabük, Osmaniye, İstanbul(Asya)",active,Detail-Aday,"GENEL NİTELİKLER VE İŞ TANIMI Sağlıkta Geleceğe Beraber Yön VerelimNeutec olarak 1992 yılından beri, sağlık ve yaşam kalitesini artırmayı amaçlayan son teknoloji üretim tesisleriyle Türkiye’ye ve dünyaya ulaşan jenerik ve yenilikçi ilaçlar geliştirmeyi hedefliyoruz.  Biz, Neutec İlaç ailesi olarak çalışanlarımıza sadece güzel bir çalışma hayatı sunmayı değil, aynı zamanda kişisel ve mesleki gelişimlerini desteklemeyi ve yeteneklerini keşfetmelerini hedefliyoruz. İşte bu nedenle, ""mutlu çalışanlar"" yaratma misyonunu taşıyor ve bu misyon doğrultusunda çalışıyoruz. Sen de Neutec ailesinin mutlu çalışanları arasına katılmak istersen doğru yerdesin! Burada Seni Neler Bekliyor? Dünya standartlarında ilaçlar üreten bir firmada çalışma fırsatıYeni tedavi çözümleri üretmek amacıyla cesur adımlar atan bir ekiple beraber yürüme imkanıAvrupa’nın en hızlı gelilşen, en geniş ve en kaliteli ürün portfoyüne sahip olma vizyonuna katkı sunma şansı Biz Senden Neler Bekliyoruz? Doktor ve eczaneleri düzenli olarak ziyaret etmeli; onları ürünlerimiz hakkında güncel tutmalısın.Müşterilerimiz ve pazarlama ekiplerimiz arasında doğru bilgi akışını sağlamalısın.Müşteri portföyümüzü genişletmek için çalışmalarda bulunmalısın.Mevcut pazarlama ve satış stratejilerini hayata geçirmeli, her gün büyüyen serüvenimize katkıda bulunmalısın. Başvurmak için Nelere Sahip Olmalısın? Önlisans veya lisans derecesiB sınıfı ehliyetGüçlü sunum becerileriYüksek enerji seviyesi ve içsel motivasyonPlanlama, organizasyon ve sonuç odaklı çalışma yetkinlikleriMüşteri odaklı yaklaşım ve zaman yönetimi becerileriCoğrafi olarak dağınık paydaşlarla çalışma deneyimi Eğer sen de büyüyen bir organizasyon içinde çok kültürlü bir ortamda çalışmak, her gün gelişen bu ekibin bir parçası olarak sınırları aşmak istersen hemen başvur!","
                1 gün önce
                 güncellendi
               "
Tam Zamanlı,İlaç Sanayi,Neutec İlaç,Neutec İlaç,Tıbbi Satış Mümessili,3622913,"Adana, Adıyaman, Afyon, Ankara, Antalya, Aydın, Balıkesir, Bolu, Bursa, Çanakkale, Çorum, Denizli, Diyarbakır, Edirne, Erzurum, Eskişehir, Gaziantep, Hatay, Isparta, Mersin, İstanbul(Avr.), İzmir, Kayseri, Kırklareli, Kocaeli, Konya, Kütahya, Malatya, Manisa, Kahramanmaraş, Mardin, Muğla, Ordu, Rize, Sakarya, Samsun, Sivas, Tekirdağ, Trabzon, Şanlıurfa, Van, Zonguldak, Kırıkkale, Iğdır, Karabük, Osmaniye, İstanbul(Asya)",active,Detail-Aday,"GENEL NİTELİKLER VE İŞ TANIMI Sağlıkta Geleceğe Beraber Yön VerelimNeutec olarak 1992 yılından beri, sağlık ve yaşam kalitesini artırmayı amaçlayan son teknoloji üretim tesisleriyle Türkiye’ye ve dünyaya ulaşan jenerik ve yenilikçi ilaçlar geliştirmeyi hedefliyoruz.  Biz, Neutec İlaç ailesi olarak çalışanlarımıza sadece güzel bir çalışma hayatı sunmayı değil, aynı zamanda kişisel ve mesleki gelişimlerini desteklemeyi ve yeteneklerini keşfetmelerini hedefliyoruz. İşte bu nedenle, ""mutlu çalışanlar"" yaratma misyonunu taşıyor ve bu misyon doğrultusunda çalışıyoruz. Sen de Neutec ailesinin mutlu çalışanları arasına katılmak istersen doğru yerdesin! Burada Seni Neler Bekliyor? Dünya standartlarında ilaçlar üreten bir firmada çalışma fırsatıYeni tedavi çözümleri üretmek amacıyla cesur adımlar atan bir ekiple beraber yürüme imkanıAvrupa’nın en hızlı gelilşen, en geniş ve en kaliteli ürün portfoyüne sahip olma vizyonuna katkı sunma şansı Biz Senden Neler Bekliyoruz? Doktor ve eczaneleri düzenli olarak ziyaret etmeli; onları ürünlerimiz hakkında güncel tutmalısın.Müşterilerimiz ve pazarlama ekiplerimiz arasında doğru bilgi akışını sağlamalısın.Müşteri portföyümüzü genişletmek için çalışmalarda bulunmalısın.Mevcut pazarlama ve satış stratejilerini hayata geçirmeli, her gün büyüyen serüvenimize katkıda bulunmalısın. Başvurmak için Nelere Sahip Olmalısın? Önlisans veya lisans derecesiB sınıfı ehliyetGüçlü sunum becerileriYüksek enerji seviyesi ve içsel motivasyonPlanlama, organizasyon ve sonuç odaklı çalışma yetkinlikleriMüşteri odaklı yaklaşım ve zaman yönetimi becerileriCoğrafi olarak dağınık paydaşlarla çalışma deneyimi Eğer sen de büyüyen bir organizasyon içinde çok kültürlü bir ortamda çalışmak, her gün gelişen bu ekibin bir parçası olarak sınırları aşmak istersen hemen başvur!","
                1 gün önce
                 güncellendi
               "
Tam Zamanlı,Lojistik,Asset GLI,Asset GLI,Lojistik Uzman Yardımcısı,3640556,"İstanbul(Avr.)(Bahçelievler, Eyüp)",active,Detail-Aday,"GENEL NİTELİKLER VE İŞ TANIMI Dünyada gelişen ve büyüyen sektörlerden biri olan Lojistik sektöründe 20 yılı aşkın tecrübesiyle uzun vadeli stratejik hedefleri doğrultusunda sürekli büyüyen ve entegre çözüm ortağı Asset GLI ailesinin bir üyesi olmaya hazır mısın?Ben de varım diyorsan seni Lojistik sektöründeki tüm departmanları deneyimleme fırsatı bulacağın, iş hayatında 6 aylık gelişim süreci boyunca üst düzey yöneticilerimiz tarafından destekleneceğin dolu dolu bir eğitim programına davet ediyoruz. Bu süreçte sektöre dair birçok projede yer alıp, ilk günden itibaren yeteneklerini geliştirerek, profesyonel ortama öğrenme olanaklarına sahip olacaksın. Adaylardan beklentimiz;- Özgüvenli,-Öğrenmeye ve gelişime açık,-Çözüm odaklı,-Satış ve müşteri odaklı bakış açısına ve yetkinliklere sahip,-Sorumluluk almaya hazır, detaylara önem veren,-Yurtiçi ve yurtdışı seyahatler konusunda esnek, -Takım çalışmasına yatkın, -İletişimi kuvvetli,-Yenilikçi ve yaratıcı çözümler sunabilecek,-En az B2 düzeyde İngilizce bilgisine sahip (ikinci yabancı dil tercih sebebidir),- İstanbul lokasyonunda ikamet eden ya da edebilecek,-Tercihen projlerde, kulüplerde veya takım oyunlarında aktif sorumluluk almış, ","
                2 gün önce
                 güncellendi
               "
Tam Zamanlı,Turizm,AİRTÜRK SERVİS VE TURİZM ANONİM ŞİRKETİ,AİRTÜRK SERVİS VE TURİZM ANONİM ŞİRKETİ,Müşteri Hizmetleri Sorumlusu,3542705,Antalya(Muratpaşa),active,Detail-Aday,"GENEL NİTELİKLER VE İŞ TANIMI WIRKE MIT AUS DEINEN EIGENEN 4 WÄNDEN!Deutsch-türkischer Service für unsere B2B-Kunden*VORWEG: Du musst kein Flugexperte sein, wir machen einen aus dir !DER FLUGCONSOLIDATOR IN FRAGEN TÜRKEI ! airtuerk versorgt Reisebüros, Reiseveranstalter und Internetportale mit Flugtickets von rund +150 Airlines zu den wettbewerbsfähigsten Preisen. Wir arbeiten aktuell europaweit mit +1200 Reisebüros und allen führenden Reiseveranstaltern zusammen. Hier ist dein Beitrag als Serviceberater gefragt!Wir bieten:* Homeoffice* Full- oder Part-Time* Hohes Grundgehalt* Monatlicher Bonus ON TOP* Private Krankenversicherung* Urlaubstage* MultinetDu musst kein Flugexperte sein, wir machen einen aus dir und zertifizieren deine Ausbildung für Reisetools und Booking Engines.Dein Interesse wurde geweckt und du willst mehr erfahren ?BEWIRB DICH JETZT!","
                2 gün önce
                 güncellendi
               "
Tam Zamanlı,Finans - Ekonomi,Gelecek Varlık Yönetimi A.Ş.,Gelecek Varlık Yönetimi A.Ş.,Tahsilat Temsilcisi,3613878,"İstanbul(Avr.), İstanbul(Asya)",active,Detail-Aday,"GENEL NİTELİKLER VE İŞ TANIMI GELECEK’TE ÇALIŞANDAN FAZLASI OL!Dünya, toplum ve insan için daha fazla değer üretme vizyonuna sahip  Fiba Grubu şirketlerindenGelecek Varlık Yönetimi’nde çalışmak, aynı zamanda bu vizyona ortak olmak demek!Sektöründe liderlik bayrağını gururla taşıyan Gelecek Varlık’ta çalışanlar, her zaman çalışandan fazlası. Çünkü biz daima Geleceğin Birlikte Güzel olduğuna inanıyor, bu inançla istihdamımızı büyütüyoruz!#GelecekBirlikteGüzel!GELECEK VARLIKLI OLMANIN AYRICALIKLARI;Günlük yemek ücreti istisnasından yüzde 30 daha yüksek günlük Multinet yüklemesi20.000 TL doğum hastane desteği2,5 gram altın bebek hediyesi2,5 gram altın evlilik hediyesiAylık 1.200 TL çocuk bakım desteğiŞirket katkılı bireysel emeklilikEş ve çocukları da kapsayan özel sağlık sigortası ve hayat sigortasıMBA, yüksek lisans eğitimi ve sertifika programlarına katılım olanağıYabancı dil eğitimiMesleki ve kişisel gelişim eğitimleriMarks & Spencer, GAP, Swissotel, Özyeğin Üniversitesi ve diğerFiba Grubu şirketlerindeyüzde 20 çalışan indirimiDilediğince esnetilebilen; alışveriş fişi, akaryakıt kuponu, hediye çeki, Swissotel’de konaklama ve daha pek çok esnek yan hakDiyetisyen hizmetiHukuksal, finansal ve psikolojik danışmanlıkİstanbul içi geniş servis ağıHibrit çalışma sistemiyle iş – özel hayat dengesiEv haftasında farklı şehirde çalışma olanağıİstanbul dışında ikamet ederken de çalışma imkânıUzaktan çalışma ödeneğiHobi kulüpleri ve renkli etkinliklerHarbiye Cemil Topuzlu Açıkhava Sahnesi’nde protokolden konser biletleriYaza merhaba ve yeni yıl partileriOfislerimizde keyifli molalar: Happy Hour!Fiba Gönüllüleri ile dünyaya değer katma fırsatıGelecek Varlık Yönetimi’nde bir çalışandan daha fazlası olmak içinTahsilat Temsilcisi ilanına kolayca başvurabilirsiniz.Aranılan Kriterler:En az ön lisans mezunu olmak,1 yıl ve üzeri çalışma deneyimine sahip olmak,İkna kabiliyeti ve iletişim becerisi yüksek ,Zamanı iyi yöneterek planlı sonuç üretebilen,Rekabet ortamında hedefli çalışabilecek,Analitik düşünebilen,Takım çalışmasına yatkın,Öğrenme ve sürekli gelişime açık,MS Office programlarına hakim,Erkek adaylar için askerlik görevini tamamlamış ya da en az 2 yıl tecilli olmak.İş Tanıtımı9:00 – 18:00 mesai saatleri arasında borçlularımız ile görüşerek kendilerini finansal özgürlüklerine kavuşturmak için alternatif çözümler sunmak, uzlaşma sürecini yönetmek Üzerindeki dosyaların hukuki işlemlerinin aşamalarını ve içeriklerini takip ederek, bu bilgileri tahsilatın sağlanması için borçlu iletişiminde kullanmak Portföyündeki dosyaları düzenli olarak arayarak, borçlularımız ile günün koşullarına uygun çözümler üzerinden konuşarak iletişim sağlamak Görevi ifa ve geliştirme ile ilgili kendisinden istenen raporları hazırlamak Tahsilat sağlamak amacıyla gerekli araştırmaları gerçekleştirmek Bireysel ve takım performansını iyileştirmeye yönelik fikir geliştirmek Hedef yolunda, gerektiğinde, ilave çalışmaları ve görüşmeleri, planlı bir şekilde gerçekleştirmek. ","
                2 gün önce
                 güncellendi
               "
Full-Time,Telekomünikasyon,MV Holding A.Ş,MV Holding A.Ş,Satış Uzmanı,3626554,İstanbul(Asya),active,Detail-Aday,"QUALIFICATIONS AND JOB DESCRIPTION We seek a dynamic and highly motivated  Sales Support Specialist for our international sales team to actively engage in our cutting-edge software product's overseas marketing and customer relationship processes in Property Technologies. Qualifications: •          Bachelor’s degree preferably in relevant fields, •          0-2 years of experience in sales and marketing (preferably in software products), •          Excellent communication and presentation skills, •          Willing to have a career in international sales, •          Strong focus on customer satisfaction, •          Excellent command of English, both written and spoken, •          Must have completed military service (if applicable), •          Proficient in MS Office programs.  Job Description: •          Work under the guidance of the Sales Manager, •          Execute sales and marketing activities with customers in the designated region, aligning with set targets (both digitally and in-person), •          Prepare customized offers for clients and ensure timely order follow-up, •          Regularly report on accomplished activities, •          Monitor and report customer complaints, •          Manage post-sales activities including invoicing and collection, •          Establish, maintain, and update customer database, •          Ensure a comprehensive understanding of sales contracts.","
                3 gün önce
                 güncellendi
               "
Tam Zamanlı,Çağrı Merkezi Ürün ve Hizmetleri,Turkcell Global Bilgi,Turkcell Global Bilgi,İklimlendirme Soğutma Teknikeri,3629286,Ankara,active,Detail-Aday,"GENEL NİTELİKLER VE İŞ TANIMI İş TanımıVardiya içinde ortaya çıkacak acil durumlarda, kurumun prosedürlerine uygun olarak bağlı oldugu yöneticisinin yönlendirmeleri doğrultusunda gerekli müdahalelerin gerçekleştirilmesi,Günlük, haftalık, aylık yapılan işlerle ilgili raporlamaların yapılması,Dokümantasyon ve prosedürlere uygun hareket edilmesi ve süreç içi olumsuzlukların ilgili yöneticisine bildirilmesi,Otomasyon sistemlerinin takibinin sağlanması, arıza durumunda gereken bildirim ve aksiyonların alınması,Takım çalışması içerisinde olduğunun bilincinde olarak vardiyalar arasındaki bilgi akışını eksiksiz olarak sağlanması,Sorunlarını çözmeye gittigi bölümlerdeki iç müşterilerle yapıcı, çözüm odaklı, kurum kültürüne uygun ilişkiler kurulması,Bulunduğu işletmedeki mekanik projelerinin güncellenmesi için yapılan değişikliklerin ilgili yöneticiye bildirilmesi,Planlı, plansız tüm bakımların ve kontrol faaliyetlerinin sistematik şekilde yürütülmesi,Mekanik ekipmanların tanınması, arıza tespitlerinin yapılıp prosedürlere uygun onarılmasıdır. Genel NiteliklerTercihen önlisans mezunu (İklimlendirme ve Soğutma ilgili bölümlerden mezun olan),Mekanik bina bakım teknisyenliği / teknikerliği alanında en az 3 yıl tecrübesi olan ,Tüm iklimlendirme ve soğutma sistemleri hakkında bilgi sahibi,7/24 vardiyalı çalışma saatlerine uyum sağlayabilecek,Tercihen elektrik ile ilgili olan zayıf akım, jeneratör, ups, trafo AG/OG sistemlerine aşına ve otomasyon sistemleri konusunda bilgi sahibi,MS Office programlarını etkin olarak kullanabilen,Ankara ilinde ikamet eden/edebilecek olan.","
                6 gün önce
                 güncellendi
               "
Tam Zamanlı,"Tekstil, Turizm, Holding / Şirketler Grubu, Gayrimenkul, Emlak İşleri",Özak Global Holding,Özak Global Holding,Elektrik Teknisyeni,3624224,İstanbul(Asya)(Ataşehir),active,Detail-Aday,"GENEL NİTELİKLER VE İŞ TANIMI 2011 yılında Özak Grup şirketlerinden biri olarak kurulan Akyön Tesis Yönetimi; plaza, konut, otel, ofis, AVM, kültür-sanat-yaşam ve performans merkezleri gibi gayrimenkul projelerine ilişkin pazar analizi, gayrimenkul geliştirme süreçleri, pazarlama, işletme ve kiralama konularında 360 derece hizmet yaklaşımı ile faaliyet göstermektedir.Sen de başarılarımıza ortak olmak istersen; Akyön Tesis Yönetimi bünyesinde Ataşehir'de bulunan Bulvar 216 Alışveriş Merkezimizde görevlendirilmek üzere ''Elektrik Teknisyeni” pozisyonumuz için başvurunu bekliyoruz.Lise veya Meslek Yüksek Okulu Elektrik bölümlerinden mezunAlanında en az 5 yıl deneyimli Alışveriş Merkezi tecrübesi olan Ekip çalışmasına yatkınİŞ TANIMI AVM' deki elektrik sistemlerinin bakımlarının ve onarımlarının yapılmasını sağlamak.","
                1 gün önce
                 güncellendi
               "
